Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
190,Zr1 Mo1 Nb1 Hf1,ZrNbMoHf,SS,SS,-8.66783141646829,49.9737328716957,96.0932205226244,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0
191,Zr1 V1 Pd1 Nb1,VZrNbPd,SS,SS,-5.95392150401668,45.0568250792493,111.402648440899,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0
192,Zr1 V1 Pd1 Hf1,VZrPdHf,SS,SS,-10.2898701583976,53.2875256529023,113.835394508223,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0
193,Zr1 V1 Nb1 Hf1,VZrNbHf,SS,SS,-14.3854843066599,62.3493737083651,90.8314994711559,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0
194,Zr1 Pd1 Nb1 Hf1,ZrNbPdHf,SS,SS,-9.9779544234391,51.8920341825832,109.711816850108,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0
195,Ti1 Mo1 V1 Pd1,TiVMoPd,SS,SS,-4.24834426871594,40.8006757899573,98.2192015323639,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0
196,Ti1 Mo1 V1 Nb1,TiVNbMo,SS,SS,-4.69285049561241,42.0251752016616,95.5628297948085,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
197,Ti1 Mo1 V1 Hf1,TiVMoHf,SS,SS,-6.01852583547331,44.1372957535708,91.6158205008297,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
198,Ti1 Mo1 Pd1 Nb1,TiNbMoPd,SS,SS,-3.47681156721253,34.1527544964086,95.0700377069321,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0
199,Ti1 Mo1 Pd1 Hf1,TiMoPdHf,SS,SS,-5.07441461463895,41.142959095761,106.606345138711,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
200,Ti1 Mo1 Nb1 Hf1,TiNbMoHf,SS,SS,-5.8447078971461,44.3640034344389,95.4301912121752,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0
201,Ti1 V1 Pd1 Nb1,TiVNbPd,SS,SS,-6.23867538672692,48.0885229993348,113.748637147015,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
202,Ti1 V1 Pd1 Hf1,TiVPdHf,SS,SS,-7.76915236952519,48.1302137324751,113.541571974514,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
203,Ti1 V1 Nb1 Hf1,TiVNbHf,SS,SS,-14.4535532003799,62.4071636740544,89.6521383620886,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
204,Ti1 Pd1 Nb1 Hf1,TiNbPdHf,SS,SS,-7.39902349671252,46.770834798015,106.773646042113,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0
205,Mo1 V1 Pd1 Nb1,VNbMoPd,SS,SS,-3.63977247097036,34.3640137184953,88.5641934459092,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0
206,Mo1 V1 Pd1 Hf1,VMoPdHf,SS,SS,-4.04451678128185,41.5941475224786,101.504872259847,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0
207,Mo1 V1 Nb1 Hf1,VNbMoHf,SS,SS,-3.78787282043566,40.5195886793303,96.8696516600387,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.0
208,Mo1 Pd1 Nb1 Hf1,NbMoPdHf,SS,SS,-2.85126401750315,36.3532594446332,98.7429343103114,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0
209,V1 Pd1 Nb1 Hf1,VNbPdHf,SS,SS,-5.72100569595383,46.5487337102523,110.260242821128,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.0
210,Al1 Cr1 Ta1 Zr1 Ti1,AlTiCrZrTa,SS,SS,-9.28934044483496,53.4992330539664,88.5440517930537,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2
211,Al1 Cr1 Ta1 Zr1 Mo1,AlCrZrMoTa,SS,SS,-4.25817144032883,37.9617254122601,82.6107785197435,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2
212,Al1 Cr1 Ta1 Zr1 V1,AlVCrZrTa,SS,SS,-7.45482647541967,47.4607414108733,87.7863426692731,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2
213,Al1 Cr1 Ta1 Zr1 Pd1,AlCrZrPdTa,SS,SS,-3.20820942257317,37.8626468597672,95.5952514493954,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2
214,Al1 Cr1 Ta1 Zr1 Nb1,AlCrZrNbTa,SS,SS,-8.28131214381094,49.3375310166144,89.5058320778142,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
215,Al1 Cr1 Ta1 Zr1 Hf1,AlCrZrHfTa,SS,SS,-9.22499030217836,52.23009305237,89.1592824969427,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2
216,Al1 Cr1 Ta1 Ti1 Mo1,AlTiCrMoTa,SS,SS,-5.44322291850041,36.9054296039006,82.0784139666135,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2
217,Al1 Cr1 Ta1 Ti1 V1,AlTiVCrTa,SS,SS,-4.18717278297755,41.1003624190896,88.9977402617047,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2
218,Al1 Cr1 Ta1 Ti1 Pd1,AlTiCrPdTa,SS,SS,-5.68908330288578,40.1191982117645,94.4332375077158,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2
219,Al1 Cr1 Ta1 Ti1 Nb1,AlTiCrNbTa,SS,SS,-7.04898152279688,45.4850803428777,92.3638083374891,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
220,Al1 Cr1 Ta1 Ti1 Hf1,AlTiCrHfTa,SS,SS,-9.04771496388762,52.405323416961,87.776922097015,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2
221,Al1 Cr1 Ta1 Mo1 V1,AlVCrMoTa,SS,SS,-4.2368992315017,36.1232825867197,82.5714698160776,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2
222,Al1 Cr1 Ta1 Mo1 Pd1,AlCrMoPdTa,SS,SS,-4.44467728574421,37.1949062774183,85.1252249828414,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2
223,Al1 Cr1 Ta1 Mo1 Nb1,AlCrNbMoTa,SS,SS,-4.46832114029046,35.3298096593596,82.9166868038253,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2
224,Al1 Cr1 Ta1 Mo1 Hf1,AlCrMoHfTa,SS,SS,-3.74414869178036,36.7781249754038,83.1964349128141,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2
225,Al1 Cr1 Ta1 V1 Pd1,AlVCrPdTa,SS,SS,-5.17382066989527,37.2851631246971,93.6061412756778,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2
226,Al1 Cr1 Ta1 V1 Nb1,AlVCrNbTa,SS,SS,-5.70094214142789,40.8242752897132,90.3999358736518,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
227,Al1 Cr1 Ta1 V1 Hf1,AlVCrHfTa,SS,SS,-7.07713737948817,44.7915889840941,86.7699737045643,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2
228,Al1 Cr1 Ta1 Pd1 Nb1,AlCrNbPdTa,SS,SS,-4.65765420702221,40.0457503285096,92.461357420854,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
229,Al1 Cr1 Ta1 Pd1 Hf1,AlCrPdHfTa,SS,SS,-3.08826828747217,35.9287290797925,95.5217822571062,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2
230,Al1 Cr1 Ta1 Nb1 Hf1,AlCrNbHfTa,SS,SS,-7.40410180801777,47.2706504984322,88.7058828271291,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2
231,Al1 Cr1 Zr1 Ti1 Mo1,AlTiCrZrMo,IM,IM,-4.11971740620487,37.9901673925297,82.245999472178,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
232,Al1 Cr1 Zr1 Ti1 V1,AlTiVCrZr,IM,IM,-5.4436274131634,52.1061870562741,107.519491493021,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0
233,Al1 Cr1 Zr1 Ti1 Pd1,AlTiCrZrPd,SS+IM,SS,-3.51341944591674,44.3604925284092,112.816614095748,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0
234,Al1 Cr1 Zr1 Ti1 Nb1,AlTiCrZrNb,IM,SS+IM,-9.1876605090655,49.9267890031733,88.423287648844,0.2,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
235,Al1 Cr1 Zr1 Ti1 Hf1,AlTiCrZrHf,SS,SS,-11.2513353776501,54.6542395399544,89.0227976221551,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0
236,Al1 Cr1 Zr1 Mo1 V1,AlVCrZrMo,IM,IM,-2.54820642351893,35.5125568813875,78.7155848952287,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0
237,Al1 Cr1 Zr1 Mo1 Pd1,AlCrZrMoPd,SS+IM,IM,-2.13174569974881,34.2250250481458,82.4034378790196,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0
238,Al1 Cr1 Zr1 Mo1 Nb1,AlCrZrNbMo,SS+IM,IM,-3.90268368924187,36.7318813465677,82.55900716435,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
239,Al1 Cr1 Zr1 Mo1 Hf1,AlCrZrMoHf,SS,SS,-6.14519458070557,39.7946812001499,88.1473249914131,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0
240,Al1 Cr1 Zr1 V1 Pd1,AlVCrZrPd,SS+IM,SS,-2.59439674448578,41.3065619180778,109.495054390324,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0
241,Al1 Cr1 Zr1 V1 Nb1,AlVCrZrNb,IM,IM,-6.12647905323286,48.6334576536758,90.3876473985119,0.2,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
242,Al1 Cr1 Zr1 V1 Hf1,AlVCrZrHf,SS,SS,-9.66421286013483,53.4161380778594,88.836160215436,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0
243,Al1 Cr1 Zr1 Pd1 Nb1,AlCrZrNbPd,SS+IM,IM,-4.12262314386398,40.1624990196862,94.5332491869414,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.0
244,Al1 Cr1 Zr1 Pd1 Hf1,AlCrZrPdHf,SS,SS,-7.16559638791973,45.7481801186774,98.5030410058435,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0
245,Al1 Cr1 Zr1 Nb1 Hf1,AlCrZrNbHf,SS,SS,-9.85302482060323,51.4941402436185,92.649519436717,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0
246,Al1 Cr1 Ti1 Mo1 V1,AlTiVCrMo,IM,SS,-1.2821248144288,31.2243880286798,80.8223847798096,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0
247,Al1 Cr1 Ti1 Mo1 Pd1,AlTiCrMoPd,SS+IM,SS,-2.57289360642952,33.6558138435058,79.5361644821132,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0
248,Al1 Cr1 Ti1 Mo1 Nb1,AlTiCrNbMo,SS,SS,-2.11359283406065,34.3442141943729,79.350924679251,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0
249,Al1 Cr1 Ti1 Mo1 Hf1,AlTiCrMoHf,SS,SS,-4.95146405011769,38.8772401047872,86.0923343728684,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0
250,Al1 Cr1 Ti1 V1 Pd1,AlTiVCrPd,SS+IM,SS,-2.81117642986601,37.9558642101462,114.768762735829,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0
251,Al1 Cr1 Ti1 V1 Nb1,AlTiVCrNb,IM,SS,-1.88473868226244,39.3387698629654,97.176262200211,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0
252,Al1 Cr1 Ti1 V1 Hf1,AlTiVCrHf,SS,SS,-6.42904920242105,49.9318366333536,87.504858745715,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0
253,Al1 Cr1 Ti1 Pd1 Nb1,AlTiCrNbPd,SS+IM,SS,-2.92574954780033,37.6239674527072,93.8498935183413,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0
254,Al1 Cr1 Ti1 Pd1 Hf1,AlTiCrPdHf,SS,SS,-4.92295024117276,40.3147850199095,97.051347162334,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0
255,Al1 Cr1 Ti1 Nb1 Hf1,AlTiCrNbHf,SS,SS,-9.05559625097293,51.397002833374,91.3142915510149,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0
256,Al1 Cr1 Mo1 V1 Pd1,AlVCrMoPd,IM,SS,-2.72971577558244,31.4788391533116,80.5115741137704,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0
257,Al1 Cr1 Mo1 V1 Nb1,AlVCrNbMo,IM,IM,-1.24073025853019,30.3455759127508,78.9262408321878,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
258,Al1 Cr1 Mo1 V1 Hf1,AlVCrMoHf,SS,SS,-4.42021800760162,36.5096656858617,82.4226099293328,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0
259,Al1 Cr1 Mo1 Pd1 Nb1,AlCrNbMoPd,SS,SS,-3.05493104135944,34.8657492956,82.8848919606405,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0
260,Al1 Cr1 Mo1 Pd1 Hf1,AlCrMoPdHf,SS,SS,-3.47750985557049,36.3622457413756,87.0146124940872,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0
261,Al1 Cr1 Mo1 Nb1 Hf1,AlCrNbMoHf,SS,SS,-3.85688927967605,37.2327787017501,82.7470624023734,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0
262,Al1 Cr1 V1 Pd1 Nb1,AlVCrNbPd,SS+IM,SS,-2.6799900035574,33.8575631956678,87.9390145462634,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
263,Al1 Cr1 V1 Pd1 Hf1,AlVCrPdHf,SS,SS,-4.65255486094247,38.8453394391394,94.1295713550508,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
264,Al1 Cr1 V1 Nb1 Hf1,AlVCrNbHf,SS,SS,-7.21007634087004,48.1976726718686,90.155186772207,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
265,Al1 Cr1 Pd1 Nb1 Hf1,AlCrNbPdHf,SS,SS,-3.40865953953827,38.5015688158113,97.2826279898971,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0
266,Al1 Ta1 Zr1 Ti1 Mo1,AlTiZrMoTa,SS,SS,-7.56684486583447,47.0351156411802,84.1631193445317,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2
267,Al1 Ta1 Zr1 Ti1 V1,AlTiVZrTa,SS,SS,-9.96969268728665,50.4793445555588,83.2836788519218,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2
268,Al1 Ta1 Zr1 Ti1 Pd1,AlTiZrPdTa,SS,SS,-6.79802036622107,42.5399651157326,95.6540706249748,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2
269,Al1 Ta1 Zr1 Ti1 Nb1,AlTiZrNbTa,SS,SS,-9.88124350069064,51.9598145467432,83.2420979039752,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2
270,Al1 Ta1 Zr1 Ti1 Hf1,AlTiZrHfTa,SS,SS,-11.2182631529569,51.8292576055116,85.5908102496384,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2
271,Al1 Ta1 Zr1 Mo1 V1,AlVZrMoTa,SS,SS,-4.51430198804072,38.1636468654013,80.2186441781876,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2
272,Al1 Ta1 Zr1 Mo1 Pd1,AlZrMoPdTa,SS,SS,-2.32605064203739,35.5264719627155,88.3231846380344,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2
273,Al1 Ta1 Zr1 Mo1 Nb1,AlZrNbMoTa,SS,SS,-4.54453715778862,39.4558238474344,82.0601555843317,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2
274,Al1 Ta1 Zr1 Mo1 Hf1,AlZrMoHfTa,SS,SS,-5.29821678281688,41.7607340801043,86.4199490714342,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
275,Al1 Ta1 Zr1 V1 Pd1,AlVZrPdTa,SS,SS,-3.92793563411113,39.7791545833657,95.0748739885153,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2
276,Al1 Ta1 Zr1 V1 Nb1,AlVZrNbTa,SS,SS,-8.56845737733826,49.6504988699609,85.2512696034329,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2
277,Al1 Ta1 Zr1 V1 Hf1,AlVZrHfTa,SS,SS,-9.39261552781934,50.8801013000887,85.1985691830901,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
278,Al1 Ta1 Zr1 Pd1 Nb1,AlZrNbPdTa,SS,SS,-3.79072904535333,39.6660147877333,95.1563780298982,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.2
279,Al1 Ta1 Zr1 Pd1 Hf1,AlZrPdHfTa,SS,SS,-7.06738921451055,43.4199482073161,98.7985256823301,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2
280,Al1 Ta1 Zr1 Nb1 Hf1,AlZrNbHfTa,SS,SS,-9.38376462192043,50.5170551489907,84.9913775673174,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2
281,Al1 Ta1 Ti1 Mo1 V1,AlTiVMoTa,SS,SS,-5.92865811704244,37.5730745587877,78.7666890461283,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2
282,Al1 Ta1 Ti1 Mo1 Pd1,AlTiMoPdTa,SS,SS,-4.37519236609335,35.7948174955682,83.9251578135708,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2
283,Al1 Ta1 Ti1 Mo1 Nb1,AlTiNbMoTa,SS,SS,-3.83302347536683,38.9805674929351,79.3358173958361,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2
284,Al1 Ta1 Ti1 Mo1 Hf1,AlTiMoHfTa,SS,SS,-6.5485035529454,44.5142172332695,83.9516513575339,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
285,Al1 Ta1 Ti1 V1 Pd1,AlTiVPdTa,SS,SS,-6.02864411733131,41.6622888484997,94.2761083043667,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2
286,Al1 Ta1 Ti1 V1 Nb1,AlTiVNbTa,SS,SS,-6.61279677737835,48.5774472141755,91.9275198666155,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2
287,Al1 Ta1 Ti1 V1 Hf1,AlTiVHfTa,SS,SS,-9.17355506035702,49.5928557599165,82.7314755258984,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2
288,Al1 Ta1 Ti1 Pd1 Nb1,AlTiNbPdTa,SS,SS,-4.6359913988138,43.4910754226586,94.6382626379173,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2
289,Al1 Ta1 Ti1 Pd1 Hf1,AlTiPdHfTa,SS,SS,-6.69929226727484,43.0537424562684,97.2096164406662,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
290,Al1 Ta1 Ti1 Nb1 Hf1,AlTiNbHfTa,SS,SS,-9.04054199847469,49.0541816277025,83.9133298563553,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2
291,Al1 Ta1 Mo1 V1 Pd1,AlVMoPdTa,SS,SS,-4.30425923997086,36.9487443284188,85.6743367973166,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2
292,Al1 Ta1 Mo1 V1 Nb1,AlVNbMoTa,SS,SS,-4.86180216829113,38.2280571646046,80.9965640942415,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2
293,Al1 Ta1 Mo1 V1 Hf1,AlVMoHfTa,SS,SS,-4.34520115047531,37.8913304347728,79.3039101045353,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2
294,Al1 Ta1 Mo1 Pd1 Nb1,AlNbMoPdTa,SS,SS,-2.9934008763231,36.1196449665017,85.814829664462,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2
295,Al1 Ta1 Mo1 Pd1 Hf1,AlMoPdHfTa,SS,SS,-1.64962160922828,33.7608481124657,88.3121685328046,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
296,Al1 Ta1 Mo1 Nb1 Hf1,AlNbMoHfTa,SS,SS,-5.20447003542918,39.8283282135687,80.2438851428249,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2
297,Al1 Ta1 V1 Pd1 Nb1,AlVNbPdTa,SS,SS,-5.18751525682316,40.8600188342986,94.9877841321874,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
298,Al1 Ta1 V1 Pd1 Hf1,AlVPdHfTa,SS,SS,-3.20986175568261,37.047749854393,95.1519954545563,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
299,Al1 Ta1 V1 Nb1 Hf1,AlVNbHfTa,SS,SS,-7.56063991484986,48.4994456492344,84.8851893213571,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
300,Al1 Ta1 Pd1 Nb1 Hf1,AlNbPdHfTa,SS,SS,-3.2814659416633,38.1743584415621,95.4163292326696,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
301,Al1 Zr1 Ti1 Mo1 V1,AlTiVZrMo,IM,SS,-5.19186494790811,41.6974929638938,81.5776639132221,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0
302,Al1 Zr1 Ti1 Mo1 Pd1,AlTiZrMoPd,SS,SS,-3.70139686155231,34.3401564456606,90.0184069245628,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0
303,Al1 Zr1 Ti1 Mo1 Nb1,AlTiZrNbMo,SS,SS,-5.03975368334272,40.5341704462332,85.3042093816582,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
304,Al1 Zr1 Ti1 Mo1 Hf1,AlTiZrMoHf,SS,SS,-8.33030180495016,46.7586389607572,88.9809773825162,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0
305,Al1 Zr1 Ti1 V1 Pd1,AlTiVZrPd,SS+IM,IM,-6.68875831189166,44.7464378937881,109.55468396834,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0
306,Al1 Zr1 Ti1 V1 Nb1,AlTiVZrNb,SS,SS,-9.37631657154126,48.723399160112,85.2252395552031,0.2,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
307,Al1 Zr1 Ti1 V1 Hf1,AlTiVZrHf,SS,SS,-11.3301270856242,53.2416549418113,85.5991427806762,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0
308,Al1 Zr1 Ti1 Pd1 Nb1,AlTiZrNbPd,SS,SS,-6.38490446364494,40.8802043849516,92.5928429083379,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0
309,Al1 Zr1 Ti1 Pd1 Hf1,AlTiZrPdHf,SS,SS,-8.72657772644909,47.9377670440318,95.6205634484538,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0
310,Al1 Zr1 Ti1 Nb1 Hf1,AlTiZrNbHf,SS,SS,-11.5644308709078,52.4732340613629,87.4909037018258,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0
311,Al1 Zr1 Mo1 V1 Pd1,AlVZrMoPd,SS,SS,-2.15650737617266,33.8309015246268,82.3895302457441,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0
312,Al1 Zr1 Mo1 V1 Nb1,AlVZrNbMo,SS,SS,-4.44925176772203,39.1419054124576,84.3578237081642,0.2,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0
313,Al1 Zr1 Mo1 V1 Hf1,AlVZrMoHf,SS,SS,-6.47853707421381,43.588094173597,85.7508270705719,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
314,Al1 Zr1 Mo1 Pd1 Nb1,AlZrNbMoPd,SS,SS,-2.55576028169135,34.0929689539234,85.4263529538362,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0
315,Al1 Zr1 Mo1 Pd1 Hf1,AlZrMoPdHf,SS,SS,-3.63102701227957,35.8443829299393,96.2481668213203,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0
316,Al1 Zr1 Mo1 Nb1 Hf1,AlZrNbMoHf,SS,SS,-6.16342160949746,43.5100380766339,88.0659373148246,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0
317,Al1 Zr1 V1 Pd1 Nb1,AlVZrNbPd,SS,SS,-5.21095914571892,41.2438483342482,90.9258272869642,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0
318,Al1 Zr1 V1 Pd1 Hf1,AlVZrPdHf,SS,SS,-7.61101992263445,46.2551902130875,96.6066913610156,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0
319,Al1 Zr1 V1 Nb1 Hf1,AlVZrNbHf,SS,SS,-9.96646470095412,52.4408706753306,85.7226611361522,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0
320,Al1 Zr1 Pd1 Nb1 Hf1,AlZrNbPdHf,SS,SS,-7.85952432690134,45.9210445969841,98.3621725028307,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0
