Unnamed: 0,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS,Al,Ti,V,Cr,Zr,Nb,Mo,Pd,Hf,Ta
656,Ta1 Zr1 Mo1 V1 Nb1 Hf1,VZrNbMoHfTa,SS,SS,-7.96303724015456,51.2011590500408,91.5517648940383,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
657,Ta1 Zr1 Mo1 Pd1 Nb1 Hf1,ZrNbMoPdHfTa,SS,SS,-2.8208881938407,38.1031668357338,99.4293088175127,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
658,Ta1 Zr1 V1 Pd1 Nb1 Hf1,VZrNbPdHfTa,SS,SS,-7.17746624139439,43.8379725778074,97.3242887294173,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
659,Ta1 Ti1 Mo1 V1 Pd1 Nb1,TiVNbMoPdTa,SS,SS,-4.32940230322868,37.3936928638513,97.3414966533135,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666
660,Ta1 Ti1 Mo1 V1 Pd1 Hf1,TiVMoPdHfTa,SS,SS,-2.83617277889021,35.4796668836453,98.8966128726408,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
661,Ta1 Ti1 Mo1 V1 Nb1 Hf1,TiVNbMoHfTa,SS,SS,-7.67026284376107,51.3117172715698,90.9959960670515,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
662,Ta1 Ti1 Mo1 Pd1 Nb1 Hf1,TiNbMoPdHfTa,SS,SS,-2.43924510233378,35.5260941785646,98.9703533091382,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
663,Ta1 Ti1 V1 Pd1 Nb1 Hf1,TiVNbPdHfTa,SS,SS,-8.34975034927546,46.6649620678177,98.0076632105974,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
664,Ta1 Mo1 V1 Pd1 Nb1 Hf1,VNbMoPdHfTa,SS,SS,-2.53007962510907,36.3021899786101,97.8102721204889,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
665,Zr1 Ti1 Mo1 V1 Pd1 Nb1,TiVZrNbMoPd,SS,SS,-3.30666161589373,36.5897976222417,101.004954180876,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
666,Zr1 Ti1 Mo1 V1 Pd1 Hf1,TiVZrMoPdHf,SS,SS,-5.42017221703147,39.8112118503537,104.993806113439,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
667,Zr1 Ti1 Mo1 V1 Nb1 Hf1,TiVZrNbMoHf,SS,SS,-11.4435755590083,54.4891287211741,90.4382319013296,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0
668,Zr1 Ti1 Mo1 Pd1 Nb1 Hf1,TiZrNbMoPdHf,SS,SS,-4.50166695832673,39.2911084795066,102.700241194157,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
669,Zr1 Ti1 V1 Pd1 Nb1 Hf1,TiVZrNbPdHf,SS,SS,-10.0471164693066,48.2897555258836,96.7417301802142,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
670,Zr1 Mo1 V1 Pd1 Nb1 Hf1,VZrNbMoPdHf,SS,SS,-3.20685875534878,38.5427425619544,104.507687767052,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
671,Ti1 Mo1 V1 Pd1 Nb1 Hf1,TiVNbMoPdHf,SS,SS,-3.20013128338999,37.6541724381086,103.746412031275,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
